student_id,category,rating
340,well_versed_with_the_subject,5
253,well_versed_with_the_subject,6
680,well_versed_with_the_subject,7
806,well_versed_with_the_subject,9
632,well_versed_with_the_subject,8
832,well_versed_with_the_subject,7
772,well_versed_with_the_subject,9
961,well_versed_with_the_subject,9
814,well_versed_with_the_subject,6
863,well_versed_with_the_subject,5
576,well_versed_with_the_subject,10
702,well_versed_with_the_subject,8
541,well_versed_with_the_subject,5
552,well_versed_with_the_subject,5
510,well_versed_with_the_subject,6
159,well_versed_with_the_subject,7
223,well_versed_with_the_subject,9
807,well_versed_with_the_subject,8
525,well_versed_with_the_subject,9
799,well_versed_with_the_subject,5
24,well_versed_with_the_subject,9
509,well_versed_with_the_subject,8
797,well_versed_with_the_subject,9
418,well_versed_with_the_subject,8
48,well_versed_with_the_subject,5
657,well_versed_with_the_subject,9
864,well_versed_with_the_subject,9
861,well_versed_with_the_subject,5
118,well_versed_with_the_subject,9
387,well_versed_with_the_subject,7
282,well_versed_with_the_subject,5
503,well_versed_with_the_subject,8
934,well_versed_with_the_subject,5
781,well_versed_with_the_subject,8
898,well_versed_with_the_subject,10
474,well_versed_with_the_subject,8
704,well_versed_with_the_subject,9
977,well_versed_with_the_subject,9
454,well_versed_with_the_subject,9
295,well_versed_with_the_subject,5
35,well_versed_with_the_subject,10
304,well_versed_with_the_subject,9
56,well_versed_with_the_subject,6
922,well_versed_with_the_subject,8
569,well_versed_with_the_subject,10
186,well_versed_with_the_subject,6
258,well_versed_with_the_subject,7
560,well_versed_with_the_subject,8
621,well_versed_with_the_subject,10
568,well_versed_with_the_subject,10
393,well_versed_with_the_subject,6
12,well_versed_with_the_subject,8
798,well_versed_with_the_subject,7
740,well_versed_with_the_subject,8
184,well_versed_with_the_subject,10
410,well_versed_with_the_subject,7
480,well_versed_with_the_subject,10
84,well_versed_with_the_subject,7
89,well_versed_with_the_subject,9
763,well_versed_with_the_subject,6
86,well_versed_with_the_subject,7
867,well_versed_with_the_subject,6
248,well_versed_with_the_subject,6
751,well_versed_with_the_subject,7
522,well_versed_with_the_subject,6
696,well_versed_with_the_subject,5
274,well_versed_with_the_subject,8
921,well_versed_with_the_subject,9
957,well_versed_with_the_subject,6
88,well_versed_with_the_subject,9
149,well_versed_with_the_subject,5
737,well_versed_with_the_subject,7
891,well_versed_with_the_subject,7
1,well_versed_with_the_subject,9
868,well_versed_with_the_subject,7
895,well_versed_with_the_subject,5
638,well_versed_with_the_subject,9
707,well_versed_with_the_subject,5
432,well_versed_with_the_subject,9
988,well_versed_with_the_subject,7
742,well_versed_with_the_subject,7
730,well_versed_with_the_subject,6
321,well_versed_with_the_subject,5
904,well_versed_with_the_subject,8
171,well_versed_with_the_subject,6
695,well_versed_with_the_subject,10
498,well_versed_with_the_subject,8
446,well_versed_with_the_subject,7
982,well_versed_with_the_subject,9
981,well_versed_with_the_subject,7
849,well_versed_with_the_subject,6
297,well_versed_with_the_subject,7
713,well_versed_with_the_subject,8
192,well_versed_with_the_subject,8
561,well_versed_with_the_subject,9
364,well_versed_with_the_subject,6
40,well_versed_with_the_subject,6
521,well_versed_with_the_subject,5
201,well_versed_with_the_subject,8
780,well_versed_with_the_subject,6
853,well_versed_with_the_subject,7
202,well_versed_with_the_subject,5
421,well_versed_with_the_subject,6
671,well_versed_with_the_subject,9
334,well_versed_with_the_subject,5
843,well_versed_with_the_subject,6
57,well_versed_with_the_subject,10
353,well_versed_with_the_subject,6
681,well_versed_with_the_subject,7
394,well_versed_with_the_subject,6
188,well_versed_with_the_subject,7
641,well_versed_with_the_subject,5
544,well_versed_with_the_subject,10
163,well_versed_with_the_subject,9
283,well_versed_with_the_subject,9
820,well_versed_with_the_subject,6
254,well_versed_with_the_subject,6
221,well_versed_with_the_subject,9
736,well_versed_with_the_subject,8
280,well_versed_with_the_subject,9
976,well_versed_with_the_subject,5
481,well_versed_with_the_subject,9
80,well_versed_with_the_subject,7
473,well_versed_with_the_subject,10
